M1,M2,M3,M4,M5,M6,M7,M8,M9
0.0,-0.48866066,-1.4694519,-0.43748766,0.46931055,-1.3458228,-0.5982828,0.0,-1.8289211
0.0,1.2183875,0.76743627,0.27807164,-1.5749626,1.406065,1.5506129,0.0,1.3655887
0.0,-1.157217,-0.7402671,-0.73782885,-0.7180835,-1.3676239,1.6609113,0.0,-1.9350344
0.0,1.5614301,0.8123673,-0.8560288,1.1218925,1.0574808,0.2877742,0.0,1.6813972
0.0,1.574496,1.0437859,1.3334093,0.79415214,-1.0564384,0.2764365,0.0,1.6577777
0.0,1.1832005,0.87192345,0.91112745,1.4025123,1.1036459,-1.2311299,0.0,1.7629172
0.0,-1.3863153,0.5063254,-0.9649108,1.1953874,-1.5131246,-1.1783888,0.0,-1.9176241
0.0,-1.3854209,0.5279076,-1.004565,1.3343109,-1.2694583,-1.2490237,0.0,-1.4441739
0.0,-1.230729,0.6096082,-1.1700023,-0.8158229,-2.054297,-1.4723322,0.0,1.0770544
0.0,-1.3863153,0.5063254,-0.959596,1.1893955,-1.5078098,-1.2197808,0.0,-1.88087
0.0,-1.1668389,-1.082766,1.0419012,-1.0710073,-1.5440642,0.6947932,0.0,-1.7078067
0.0,-1.0914356,0.5906005,-1.0549018,-1.4095435,-1.9156855,-1.3661045,0.0,1.654906
0.0,-1.3863153,0.5063254,-0.959596,1.1893955,-1.5078098,-1.2197808,0.0,-1.88087
0.0,0.027635584,0.38210282,0.96645314,-0.46388143,1.5724095,-1.5241784,0.0,2.1252453
0.0,-0.1154491,-1.2140341,-0.32103673,-1.4228766,-1.4927838,-1.3266659,0.0,0.17560978
0.0,1.7992438,-1.061648,-0.022101518,-0.6020162,1.5567596,2.2207017,0.0,0.06593441
0.0,0.2629151,0.71163523,0.7208387,1.2037547,0.39639625,1.929144,0.0,-1.9352893
0.0,-1.1162466,0.6886375,0.98817164,1.3491167,1.3242584,-0.8091898,0.0,2.2566676
0.0,1.4825876,0.93207705,1.2687783,1.2234509,-0.99781156,0.026737384,0.0,1.8071841
0.0,0.014118619,0.80298674,-0.92818487,0.6052551,0.59682035,1.8049773,0.0,2.0518935
0.0,-0.6992512,0.70997083,0.6293134,-1.4047947,1.4677414,1.7074251,0.0,1.8246335
0.0,1.3588051,0.95830953,-0.023933966,0.2344731,1.4436239,-0.85233885,0.0,2.056019
